Tweet_count,Username,Text,Created At,Retweets,Likes
1,Crypto Enthusiast,"""What's the most exciting crypto project you've backed?""#CryptoProjects #Crypto  #Bitcoin #ethereum #Binance #OKX #Phemex #crypto #Picoin #shiba #Dogecoin #altcoins #memecoins #airdrops #NFT",Mon Mar 03 16:51:06 +0000 2025,0,2
2,Panties For Bitcoin,"Just like Bitcoin, my love for you is unstoppable.  #FlirtyMondays #PantiesForBitcoin https://t.co/Pj6uO2OnZS",Mon Mar 03 16:51:00 +0000 2025,0,1
3,Crypto Enthusiast,"""Do you think crypto can address the issue of data privacy?""#CryptoPrivacy #Crypto  #Bitcoin #ethereum #Binance #OKX #Phemex #crypto #Picoin #shiba #Dogecoin #altcoins #memecoins #airdrops #NFT",Mon Mar 03 16:44:49 +0000 2025,0,2
4,Crypto KingğŸ‘‘ğŸ’.eth.sol,Everything is sending af https://t.co/55YiVDNdmf,Mon Mar 03 14:18:48 +0000 2025,38,160
5,Claps,How to start playing at CLAPS?  Watch our video guide to making your first deposit ğŸ–¥  #onlinecasino #cryptocasino #casinoonline #crypto #BTC #bitcoin #ETH #ethereum #XDG #dogecoin #LTC #litecoin #USDT #tether #Memes #luck https://t.co/fmXs4oUo5H,Mon Mar 03 16:54:03 +0000 2025,0,3
6,Chairman Â² ğŸ’ğŸ•³ï¸,"Touchdown in Pakistan, will be attending some crypto related meetings with @_FaridKhan   Itâ€™s time we introduce and onboard the masses   Thank you Pakistan for the warm welcome ğŸ™   My favorite currently is Anglerfish https://t.co/sM5UIyUaPL",Mon Mar 03 16:49:20 +0000 2025,4,15
7,BitcoinWorld Media,"Hold onto your hats, crypto enthusiasts! A Wall Street giant is making waves with a bold prediction. #BITCOIN #cryptoreserve #ETHEREUM #strategy #Trump https://t.co/ZsfFli5zej https://t.co/uQJVJ7oXfB",Mon Mar 03 16:46:48 +0000 2025,0,1
8,Doncho Stojanoski,"Hey @binanceus, the #LUNC community is waiting! ğŸš€ When will you list our favorite coin? The demand is strong, the support is massive, and the future is bright! Letâ€™s make it happen! ğŸ”¥ğŸŒ•  #LUNC #Crypto #Binance #Bitcoin #Ethereum #BNB #Blockchain #Web3 #DeFi #Metaverse #Altcoins https://t.co/bTMfitG9Zo",Mon Mar 03 16:50:03 +0000 2025,3,8
9,Assimilate,"The Game Has Changed.  Trumpâ€™s announcement of aÂ U.S. Crypto Strategic ReserveÂ sent shockwaves through the market. Bitcoin surged past $93K. Ethereum, XRP, Solana, and Cardano were named as part of the reserve.  This isnâ€™t just another bullish headlineâ€”itâ€™s a fundamental shift in https://t.co/ywFzoLLtce",Mon Mar 03 16:48:59 +0000 2025,0,3
10,0xNobler,"Giving away 10,000 $XRP (~$26,000) to one lucky follower!  Just closed my $135K #XRP long and decided to change someoneâ€™s life by sharing the profit.  Simply like, retweet and comment ""done"".  Random winner in 24 hours, must be following. https://t.co/sTzmL8lMbQ",Mon Mar 03 13:20:15 +0000 2025,688,824
11,Ron Filipkowski,"L - Eric Trump tells people to â€œbuy the dipsâ€ on crypto.  R - A couple days later, Trump makes his crypto announcement.  How much time did the media spend on Hunter Biden?  I read more articles about Bidenâ€™s shoes than this blatant and obvious corruption. https://t.co/SX89nbze2g",Mon Mar 03 16:27:48 +0000 2025,416,1081
12,CRYPTOPOWER ğŸ’ª ğŸš€,Donâ€™t miss out on @redxsolana update Iâ€™ll be dropping in my private TG  $Red will change life  (100x)  Send a dm now to hop on my private telegram group ğŸ’¸  #Red #Solana #Memecoin #Crypto #Market #Nfts #Dogecoin #Bitcoin #Community #Binance https://t.co/0GSJqNyD8f,Mon Mar 03 16:54:01 +0000 2025,0,2
13,blanc,a normal week in crypto:  day 1: depressed day 2: depressed day 3: depressed day 4: depressed day 5: depressed day 6: depressed day 7: euphoric,Mon Mar 03 16:51:33 +0000 2025,2,48
14,~Aksha Yakovenko ğ•,To celebrate the Bitcoin strategic reserve Announcement  I will give $90 $SOL to 5 persons   1) Like and repost   2) Follow @Aksha_eth and turn post notifications  3) Tag 2 Friends.  4) Join: https://t.co/3ss87L7c4j  #BITCOIN #Solana https://t.co/Ek3TY4ZHW4,Mon Mar 03 12:53:24 +0000 2025,186,198
15,Tessa ğŸ’…,Choose one  1) Bitcoin  2) Gold,Mon Mar 03 15:01:00 +0000 2025,5,224
16,BitMart,"ğŸš€ #BitMart is taking over the #crypto game!  ğŸ”¹ 1,700+ trading pairsâ€”more choices, more gains ğŸ’° ğŸ”¹ Expanding in Europe with local vibes! ğŸ”¹ Community-driven: memes, influencers &amp; â€œStake to Voteâ€ ğŸ”¥  BitMart isnâ€™t just a crypto exchangeâ€”itâ€™s a movement. Join us ğŸ‘‰ https://t.co/UQ3sQLamGf",Mon Mar 03 16:50:35 +0000 2025,0,11
17,Polynomial,"DeFi trading finally feels like a CEX.  Polynomial just shipped chart trading that lets you literally draw your Take-Profit and Stop-Loss lines.  No more typing numbers. No more multiple clicks. Just pure, visual trading. https://t.co/bPxTHDNr3d",Mon Mar 03 16:43:02 +0000 2025,2,13
18,MoonKing,"Here's a quick crypto game you can do  Whenever $RWAX dips below $0.10, buy some  @The_RWAX hasn't gone live in Mainnet yet, and it will be crazy when it'll do it together with @plumenetwork  You'll reap the benefits of this game then ğŸ‘€ https://t.co/R7DoICWuU1",Mon Mar 03 16:48:28 +0000 2025,5,27
19,comet,Bitcoin is back over $90k https://t.co/5GILoKiO5f,Mon Mar 03 13:55:31 +0000 2025,32,289
